번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
510,면 및 만두류,비빔냉면(충청도),550,693,144.94,20.83,3.53,27.7,1639.37,44.78,2.14,0.04
511,면 및 만두류,열무냉면,800,525.49,97.52,20.84,5.78,27.14,3152.37,67.78,1.36,0
512,면 및 만두류,열무냉면(강원도),800,544,103.92,21.37,4.46,32.55,3045.24,100.61,1.54,0.01
513,면 및 만두류,열무냉면(경기도),800,536,92.25,20.29,9.81,22.98,3246.46,98.66,1.37,0
514,면 및 만두류,열무냉면(경상도),800,520,105.12,18.15,2.65,33.02,3594.43,38.89,1,0
515,면 및 만두류,열무냉면(서울),800,616,102.97,22.52,12.3,20.59,2919.46,48.07,2.07,0
516,면 및 만두류,열무냉면(전라도),800,400,80.15,11.76,3.42,30.1,2650.83,88.86,0.93,0
517,면 및 만두류,열무냉면(충청도),800,544,100.72,30.97,2.07,23.63,3457.78,31.58,1.24,0
518,면 및 만두류,회냉면,550,629.98,122.01,17.75,7.89,24.35,1517.81,78.63,1.95,0.06
519,면 및 만두류,회냉면(강원도),550,638,111.26,15.14,14.53,14.42,1320.18,50.03,2.17,0.03
520,면 및 만두류,회냉면(경기도),550,566.5,110.21,14.51,7.42,18.93,1686.77,77.18,1.63,0.07
521,면 및 만두류,회냉면(경상도),550,654.5,130.78,20.56,5.67,18.41,1661.51,93.04,2.7,0.07
522,면 및 만두류,회냉면(서울),550,643.5,123.17,20.92,7.47,39.57,1326.03,81.36,1.8,0.07
523,면 및 만두류,회냉면(전라도),550,638,129.6,14.58,6.99,35.52,1312.44,84.76,1.73,0.07
524,면 및 만두류,회냉면(충청도),550,638,127.01,20.81,5.22,19.3,1799.95,85.43,1.67,0.07
525,면 및 만두류,떡국,800,711.3,147.18,20.63,4.46,0.48,1928.42,136.34,2.18,0.02
526,면 및 만두류,떡국(강원도),800,712,142.96,18.47,7.18,0,1962.38,165.58,1.68,0
527,면 및 만두류,떡국(경기도),800,720,152.06,19.22,3.46,0.75,1800.55,107.96,1.91,0
528,면 및 만두류,떡국(경상도),800,672,138.6,18.57,4.78,0.34,1967.65,144.99,2.1,0.01
529,면 및 만두류,떡국(서울),800,760,157.57,24.34,3.41,0,1816.19,105.54,2.52,0.05
530,면 및 만두류,떡국(전라도),800,720,141.77,22.98,6.88,0.54,2030.23,184.47,2.54,0.02
531,면 및 만두류,떡국(충청도),800,688,150.08,20.2,1.02,1.28,1993.51,109.46,2.32,0.03
532,면 및 만두류,떡만둣국,700,624.92,110.7,20.06,11.32,0.16,1980.19,122.42,3.44,0.08
533,면 및 만두류,떡만둣국(강원도),700,602,102.05,17.56,13.59,0.27,2033.14,156.68,2.76,0.06
534,면 및 만두류,떡만둣국(경기도),700,595,98.84,19.22,13.64,0.27,2011.37,100.03,3.99,0.12
535,면 및 만두류,떡만둣국(경상도),700,567,104.51,19.28,7.99,0,1833.17,94.29,3.2,0.06
536,면 및 만두류,떡만둣국(서울),700,665,115.2,20.38,13.75,0.21,1921.09,151.84,3.58,0.08
537,면 및 만두류,떡만둣국(전라도),700,658,124.68,21.06,8.67,0.19,1912.59,112.33,3.71,0.1
538,면 및 만두류,떡만둣국(충청도),700,658,118.96,22.84,10.28,0,2169.78,119.37,3.38,0.06
539,면 및 만두류,고기만두,250,452.01,48.64,16.3,21.36,2.92,849.33,16.01,6.08,0.1
540,면 및 만두류,고기만두(강원도),250,465,44.94,17.06,24.14,2.76,917.86,20.08,10.09,0.09
541,면 및 만두류,고기만두(경기도),250,417.5,57.88,14.22,14.32,5.02,857.02,13.52,5.5,0.13
542,면 및 만두류,고기만두(경상도),250,482.5,41.58,18.2,27.12,2.75,809.41,17.89,7.38,0.12
543,면 및 만두류,고기만두(서울),250,430,51.42,16.6,17.68,2.12,946.47,21.79,3.36,0.04
544,면 및 만두류,고기만두(전라도),250,420,45.65,16.13,19.21,0.97,689.97,9.98,4.19,0.12
545,면 및 만두류,고기만두(충청도),250,495,50.34,15.61,25.71,3.88,875.24,12.82,5.97,0.12
546,면 및 만두류,군만두,250,685.24,88.06,17.53,29.21,4.18,952.22,17.02,12.4,0.25
547,면 및 만두류,군만두(강원도),250,692.5,86.41,18.14,30.52,4.17,874.23,16.36,19.55,0.44
548,면 및 만두류,군만두(경기도),250,652.5,93.14,15.78,24.22,4.3,1115.51,16.96,5.82,0.12
549,면 및 만두류,군만두(경상도),250,667.5,95.7,15.24,24.95,2.94,846.8,20.84,14.01,0.22
550,면 및 만두류,군만두(서울),250,710,83.62,19.17,33.22,4.97,907.06,17.98,6.55,0.22
551,면 및 만두류,군만두(전라도),250,695,82.16,18.05,32.8,6.62,847.34,9.88,19.83,0.33
552,면 및 만두류,군만두(충청도),250,690,87.29,18.79,29.56,2.05,1122.34,20.14,8.66,0.16
553,면 및 만두류,김치만두,250,420.53,57.57,15.58,14.22,3.02,941.25,12.7,4.84,0.08
554,면 및 만두류,김치만두(강원도),250,445,49.82,18.5,19.04,3.52,1000.9,17.22,8.85,0.06
555,면 및 만두류,김치만두(경기도),250,405,62.17,14.17,11.12,5.26,1043.58,12.46,4.57,0.11
556,면 및 만두류,김치만두(경상도),250,422.5,50.72,15.48,17.49,0.94,891.57,9.23,4.62,0.06
557,면 및 만두류,김치만두(서울),250,387.5,63.55,14.62,8.19,1.68,970.35,18.16,3.06,0.04
558,면 및 만두류,김치만두(전라도),250,417.5,64.08,15.6,10.89,1.08,844.26,7.43,3.31,0.08
559,면 및 만두류,김치만두(충청도),250,447.5,55.11,15.1,18.55,5.62,896.84,11.66,4.61,0.1
560,면 및 만두류,물만두,120,156.67,18.69,6.76,6.1,0.66,287.02,10.7,3.99,0.07
561,면 및 만두류,물만두(강원도),120,184.8,23.82,6.44,7.02,0.58,289.03,10.12,5.51,0.11
562,면 및 만두류,물만두(경기도),120,165.6,22.2,6.37,5.67,1.14,303,9.48,2.46,0.04
563,면 및 만두류,물만두(경상도),120,158.4,18.3,7.01,6.36,0.43,275.28,18.9,3.35,0.06
564,면 및 만두류,물만두(서울),120,145.2,14.52,7.14,6.51,0.41,178.21,7.37,2.68,0.06
565,면 및 만두류,물만두(전라도),120,142.8,17.6,6.54,5.11,0.51,329.22,5.62,6.62,0.11
566,면 및 만두류,물만두(충청도),120,144,15.7,7.06,5.91,0.92,347.4,12.72,3.33,0.03
567,면 및 만두류,만둣국,700,434.05,47.83,21.43,17.44,3.04,2368,94.52,4.24,0.05
568,면 및 만두류,만둣국(강원도),700,413,21.79,22.68,26.08,3.47,2373.71,152.75,5.64,0.03
569,면 및 만두류,만둣국(경기도),700,462,49.53,26.79,17.65,3.54,2377.6,98.95,4.77,0.04
570,면 및 만두류,만둣국(경상도),700,434,63.17,17.82,11.89,1.74,2285.37,77.38,4.02,0.07
571,면 및 만두류,만둣국(서울),700,455,54.82,22.6,16.52,2.32,2211.92,74.63,4.44,0.1
572,면 및 만두류,만둣국(전라도),700,441,50.55,19.71,17.93,1.8,2555.52,61.73,2.37,0.03
573,면 및 만두류,만둣국(충청도),700,399,47.13,18.98,14.6,5.42,2403.83,101.68,4.17,0.05
574,면 및 만두류,수제비,800,646.84,128.38,20.84,5.55,4.32,2030.3,82.66,1.43,0.01
575,면 및 만두류,수제비(강원도),800,624,122,22.78,5.32,1.67,1972.9,142.17,1.59,0
576,면 및 만두류,수제비(경기도),800,616,114.16,19.36,8.69,2.77,2177.34,50.41,1.37,0
577,면 및 만두류,수제비(경상도),800,632,119.17,19.46,8.94,5.34,2382.97,98.81,1.38,0.02
578,면 및 만두류,수제비(서울),800,616,127.1,18.44,3.8,3.14,1783.06,57.62,1.21,0
579,면 및 만두류,수제비(전라도),800,760,154.71,24.4,5.24,5.34,1929.86,78.42,1.69,0.01
580,면 및 만두류,수제비(충청도),800,624,133.15,20.6,1.31,7.66,1935.7,68.58,1.36,0
581,면 및 만두류,오일소스스파게티,400,646.74,89.42,19.56,23.43,1.41,1124.33,31.62,3.89,0.05
582,면 및 만두류,오일소스스파게티(강원도),400,624,85.18,15.97,24.45,2.63,1053.36,27.59,3.94,0.05
583,면 및 만두류,오일소스스파게티(경기도),400,612,89.84,18.66,19.88,0.47,1032.54,23.72,4.44,0.02
584,면 및 만두류,오일소스스파게티(경상도),400,628,97.56,21.04,17.28,0.13,1269.61,35.04,2.33,0.02
585,면 및 만두류,오일소스스파게티(서울),400,696,92.56,24.89,25.18,0.64,1077.31,40.23,3.91,0.08
586,면 및 만두류,오일소스스파게티(전라도),400,616,88.77,17.36,21.16,4.33,1283.28,13.96,2.81,0.04
587,면 및 만두류,오일소스스파게티(충청도),400,700,82.62,19.43,32.61,0.27,1029.89,49.18,5.92,0.1
588,면 및 만두류,크림소스스파게티,400,837.57,73.76,21.79,50.59,9.17,1030.21,126.58,25.66,1
589,면 및 만두류,크림소스스파게티(강원도),400,876,75.4,23.15,53.42,9.09,1089.9,116.76,28,1.01
590,면 및 만두류,크림소스스파게티(경기도),400,844,70.96,23.33,51.88,7.5,1103.04,127.69,26.15,0.82
591,면 및 만두류,크림소스스파게티(경상도),400,820,71.62,20.25,50.07,6.64,998.09,127.76,23.22,1.07
592,면 및 만두류,크림소스스파게티(서울),400,892,72.66,22.24,57.11,8.66,1042.78,163.57,26.23,1.1
593,면 및 만두류,크림소스스파게티(전라도),400,784,75.53,19.35,44.78,11.62,862.65,103.31,26.98,1.1
594,면 및 만두류,크림소스스파게티(충청도),400,812,76.42,22.43,46.31,11.52,1084.81,120.38,23.41,0.93
595,면 및 만두류,토마토소스스파게티,500,642.58,93.2,24.35,19.15,15.6,1508.64,49.17,5.44,0.21
596,면 및 만두류,토마토소스스파게티(강원도),500,645,90.06,27,19.4,15.86,1615.03,48.88,5.46,0.28
597,면 및 만두류,토마토소스스파게티(경기도),500,655,92.36,24.29,21.2,15.66,1634.04,53.92,5.29,0.24
598,면 및 만두류,토마토소스스파게티(경상도),500,710,94.3,30.84,23.44,14.4,1726.34,64.3,7.43,0.22
599,면 및 만두류,토마토소스스파게티(서울),500,625,85.44,25.82,19.91,12.77,1480.81,69.29,5.87,0.2
600,면 및 만두류,토마토소스스파게티(전라도),500,570,97.45,16.74,12.72,18.5,1159.22,12.2,3.38,0.14
601,면 및 만두류,토마토소스스파게티(충청도),500,650,99.62,21.42,18.24,16.4,1436.37,46.4,5.19,0.18
602,면 및 만두류,해물크림소스스파게티,500,917.57,86.98,30.4,49.79,8.36,1323.7,210.88,24.73,0.94
603,면 및 만두류,해물크림소스스파게티(강원도),500,985,90.5,29.27,56.22,8.79,1311.98,207.88,25.8,0.88
604,면 및 만두류,해물크림소스스파게티(경기도),500,890,87.57,28.84,46.96,8.51,1377,177.94,24.76,0.77
605,면 및 만두류,해물크림소스스파게티(경상도),500,905,90.92,28.97,47.14,7.92,1267.44,180.07,25.02,1.04
606,면 및 만두류,해물크림소스스파게티(서울),500,995,83.06,33.8,58.54,5.82,1397.82,245.28,26.68,1.18
607,면 및 만두류,해물크림소스스파게티(전라도),500,885,82.88,32.88,46.82,9.9,1263.02,227.92,27.26,1.04
608,면 및 만두류,해물크림소스스파게티(충청도),500,850,86.91,28.62,43.06,9.2,1324.92,226.22,18.88,0.74
609,면 및 만두류,해물토마토소스스파게티,500,584.44,87.24,27.98,13.73,13.48,1533.16,159.64,3.14,0.07
610,면 및 만두류,해물토마토소스스파게티(강원도),500,635,88.56,29.82,17.98,13.68,1609.76,164.1,3.5,0.07
611,면 및 만두류,해물토마토소스스파게티(경기도),500,580,85.9,28.18,13.54,8.5,1469.18,173,2.14,0.06
612,면 및 만두류,해물토마토소스스파게티(경상도),500,595,87.42,26.89,15.56,13.65,1611.24,141.49,4.42,0.08
613,면 및 만두류,해물토마토소스스파게티(서울),500,595,87.24,26.92,15.14,15.27,1519.24,158.24,3.01,0.06
614,면 및 만두류,해물토마토소스스파게티(전라도),500,540,85.98,28.87,8.8,14.62,1411.82,163.43,2.51,0.07
615,면 및 만두류,해물토마토소스스파게티(충청도),500,565,88.34,27.16,11.37,15.17,1577.68,157.56,3.28,0.07
616,면 및 만두류,우동(일식),700,421.51,74.2,13.39,7.9,2.48,2390.32,25.98,1.49,0.01
617,면 및 만두류,우동(일식)(강원도),700,532,68.64,13.57,22.64,4.91,2566.25,60.52,1.25,0
618,면 및 만두류,우동(일식)(경기도),700,371,68.93,11.8,5.26,1.62,2116.23,13.4,0.77,0
619,면 및 만두류,우동(일식)(경상도),700,434,80.12,11,7.5,1.71,2479.39,0.88,1,0.01
620,면 및 만두류,우동(일식)(서울),700,420,74,17.32,6.3,2.84,2512.67,55.65,1,0.01
621,면 및 만두류,우동(일식)(전라도),700,385,75.34,14.27,3.13,1.01,2435.5,14.18,0.8,0.01
622,면 및 만두류,우동(일식)(충청도),700,385,78.15,12.39,2.6,2.81,2231.88,11.24,4.1,0.04
623,면 및 만두류,우동(중식),1000,648.47,85.37,29.45,21.02,1.1,3395.86,208.42,3.35,0.03
624,면 및 만두류,우동(중식)(강원도),1000,580,87.77,30.25,12.4,2.55,3315.99,203.69,3.48,0
625,면 및 만두류,우동(중식)(경기도),1000,640,99.9,32.51,12.77,0.43,3463.73,204.2,1.81,0
626,면 및 만두류,우동(중식)(경상도),1000,640,84.43,26.89,22.15,3.12,3549.45,191.56,2.59,0.09
627,면 및 만두류,우동(중식)(서울),1000,650,79.54,28.8,24.43,0.15,2575.19,223.34,2.15,0
628,면 및 만두류,우동(중식)(전라도),1000,660,87.91,34.54,19.02,0.34,3387.8,188.22,6.38,0.05
629,면 및 만두류,우동(중식)(충청도),1000,700,72.64,23.71,35.37,0,4082.98,239.51,3.69,0.04
630,면 및 만두류,김치우동,800,500.18,99.14,15.55,4.6,2.13,2874.6,14.13,0.83,0
631,면 및 만두류,김치우동(강원도),800,480,87.85,15.97,7.4,0.14,2665.17,18.98,0.88,0
632,면 및 만두류,김치우동(경기도),800,584,123.01,16.16,3.19,2.42,2613.34,9.32,0.98,0
633,면 및 만두류,김치우동(경상도),800,464,89.88,14.78,5.2,2.28,3200.67,9.98,0.77,0
634,면 및 만두류,김치우동(서울),800,464,94.5,16.02,2.01,4.54,3283.66,16.99,0.99,0
635,면 및 만두류,김치우동(전라도),800,520,103.14,15.41,4.84,2.98,2785.35,18.3,0.71,0
636,면 및 만두류,김치우동(충청도),800,488,96.49,14.95,4.96,0.42,2699.42,11.2,0.66,0
637,면 및 만두류,삼선우동,1000,691.66,105.9,47.94,8.48,0.8,2722.32,620.9,2.02,0
638,면 및 만두류,삼선우동(강원도),1000,650,120.73,38.39,1.43,0,2698.79,447.18,2.04,0
639,면 및 만두류,삼선우동(경기도),1000,750,92.51,66.65,12.38,0,2566.63,905.76,2.23,0
640,면 및 만두류,삼선우동(경상도),1000,690,103.58,41.09,11.82,2.99,2739.65,603.65,2.05,0
641,면 및 만두류,삼선우동(서울),1000,700,94.12,55.62,11.7,0,2489.44,869.61,2.36,0
642,면 및 만두류,삼선우동(전라도),1000,680,114.6,38.23,7.43,1.81,2790.14,405.92,1.77,0
643,면 및 만두류,삼선우동(충청도),1000,690,109.86,47.66,6.12,0,3049.26,493.26,1.68,0
644,면 및 만두류,짬뽕,1000,687.62,100.59,28.17,19.18,3.38,4000.09,109.43,12.98,0.24
645,면 및 만두류,짬뽕(강원도),1000,660,112.96,24.03,12.46,5.53,4054.44,77.46,5.83,0
646,면 및 만두류,짬뽕(경기도),1000,680,105.34,26.5,16.52,5.43,4296.75,100.48,50.15,1.14
647,면 및 만두류,짬뽕(경상도),1000,710,93.67,30.72,23.9,0.98,3725.24,138.45,3.15,0.09
648,면 및 만두류,짬뽕(서울),1000,590,105.57,29.29,5.07,1.78,3272,50.2,1.72,0.03
649,면 및 만두류,짬뽕(전라도),1000,740,94.37,34.13,25.35,1.85,3960.29,119.46,6.87,0.17
650,면 및 만두류,짬뽕(충청도),1000,750,91.62,24.32,31.78,4.71,4691.83,170.52,10.16,0.01
651,면 및 만두류,굴짬뽕,900,680.67,115.69,32.87,9.6,1.7,2662.34,163.3,1.41,0.04
652,면 및 만두류,굴짬뽕(강원도),900,621,126.55,28.44,0.2,1.74,3112.41,105.8,0.92,0
653,면 및 만두류,굴짬뽕(경기도),900,684,113.65,32.16,11.18,0.16,2514.66,153.88,0.99,0.01
654,면 및 만두류,굴짬뽕(경상도),900,666,117.89,31.08,7.68,6.52,2556.96,198.82,1.42,0.01
655,면 및 만두류,굴짬뽕(서울),900,711,109.14,35.65,14.61,0.06,2419.82,162.34,2.38,0.13
656,면 및 만두류,굴짬뽕(전라도),900,684,111.13,30.04,12.76,1.7,2478.95,149.38,1.91,0.08
657,면 및 만두류,굴짬뽕(충청도),900,720,115.76,39.85,11.2,0,2891.28,209.62,0.86,0.01
658,면 및 만두류,삼선짬뽕,900,662.36,101.74,39.63,10.77,1.09,2689.13,312.48,1.92,0.03
659,면 및 만두류,삼선짬뽕(강원도),900,612,105.1,34.57,5.83,0.19,2595.82,257.92,1.94,0.02
660,면 및 만두류,삼선짬뽕(경기도),900,675,102.27,43.64,10.12,0.87,2742.94,426.6,1.48,0
661,면 및 만두류,삼선짬뽕(경상도),900,666,110.67,34.97,9.58,2.07,2711.01,276.75,1.63,0.01
662,면 및 만두류,삼선짬뽕(서울),900,648,97.75,41.06,9.91,0.24,2629.37,342.43,2.07,0.04
663,면 및 만두류,삼선짬뽕(전라도),900,684,91,42.89,16.91,2.73,2659.05,292.64,2.55,0.07
664,면 및 만두류,삼선짬뽕(충청도),900,684,103.62,40.64,12.27,0.46,2796.6,278.52,1.82,0
665,면 및 만두류,해물칼국수,900,628.26,123.9,22.81,4.61,3.81,2355.08,26.7,1.3,0.01
666,면 및 만두류,해물칼국수(강원도),900,612,125.07,19.47,3.53,3.55,2532.11,35.53,1.36,0.02
667,면 및 만두류,해물칼국수(경기도),900,630,128.93,23.76,1.94,2.23,2377.41,30.21,0.76,0
668,면 및 만두류,해물칼국수(경상도),900,585,112.07,20.02,6.11,7.44,1931.68,18.56,0.81,0
669,면 및 만두류,해물칼국수(서울),900,648,130.08,25.57,2.77,2.77,2511.4,31.28,1.21,0
670,면 및 만두류,해물칼국수(전라도),900,711,140.62,22.97,5.89,4.43,2323.75,34.83,1.82,0.01
671,면 및 만두류,해물칼국수(충청도),900,594,106.63,25.03,7.39,2.43,2454.1,9.78,1.85,0
672,면 및 만두류,콩국수,800,666.82,112.02,31.03,10.51,4.69,944.59,31.26,4.3,0
673,면 및 만두류,콩국수(강원도),800,640,112.74,25.79,9.32,5.6,809.12,48.74,3.08,0
674,면 및 만두류,콩국수(경기도),800,664,111.26,33.77,9.62,3.99,903.3,48.26,3.03,0
675,면 및 만두류,콩국수(경상도),800,680,121.8,27.84,8.72,5.45,1223.11,19.39,7,0
676,면 및 만두류,콩국수(서울),800,712,111.08,31.9,15.94,1.73,779.21,35.83,4.1,0.01
677,면 및 만두류,콩국수(전라도),800,664,111.42,26.95,11.96,7.15,1107.53,13.4,4.62,0
678,면 및 만두류,콩국수(충청도),800,640,103.86,39.94,7.49,4.2,845.27,21.9,4,0
679,면 및 만두류,기스면,1000,606.93,89.79,37.82,10.72,0.5,2764.59,416.54,2.12,0
680,면 및 만두류,기스면(강원도),1000,550,81.37,33.19,10.44,0,2833.28,414.95,2.32,0
681,면 및 만두류,기스면(경기도),1000,570,92.85,34.67,6.71,0,3168.24,377.95,1.91,0
682,면 및 만두류,기스면(경상도),1000,670,101.18,40.64,11.3,2.88,2498.53,443.32,2.23,0.02
683,면 및 만두류,기스면(서울),1000,620,89.06,41.06,11.36,0,2647.87,484.29,2.65,0
684,면 및 만두류,기스면(전라도),1000,500,74.51,34.3,6.75,0.15,2897.59,326.38,1.98,0
685,면 및 만두류,기스면(충청도),1000,730,99.75,43.05,17.77,0,2542.03,452.38,1.61,0
686,면 및 만두류,메밀국수,600,611.72,117.8,19.64,6.88,11.37,1753.84,3.45,0.54,0
687,면 및 만두류,메밀국수(강원도),600,540,114.33,18.78,1.17,7.79,1964.01,0,0.53,0
688,면 및 만두류,메밀국수(경기도),600,600,122.24,22.98,1.94,13.75,1747.72,0,0.49,0
689,면 및 만두류,메밀국수(경상도),600,648,129.13,18.46,6.56,16.08,1783.55,0,0.45,0
690,면 및 만두류,메밀국수(서울),600,612,117.07,20.03,6.77,14.04,1709.71,0,0.61,0
691,면 및 만두류,메밀국수(전라도),600,648,94.22,16.73,22.9,7.51,1671.96,20.71,0.61,0
692,면 및 만두류,메밀국수(충청도),600,618,129.81,20.88,1.96,9.05,1646.11,0,0.55,0
693,면 및 만두류,울면,1000,728.86,128.18,37.46,7.37,0.5,2799.92,445.79,1.85,0.01
694,면 및 만두류,울면(강원도),1000,680,131.04,33.52,2.18,0,3231.2,345.55,1.77,0
695,면 및 만두류,울면(경기도),1000,700,118.71,41.12,6.66,0,2729.18,582.95,1.58,0
696,면 및 만두류,울면(경상도),1000,730,126.77,35.83,8.5,0.14,2584.62,429.08,1.76,0
697,면 및 만두류,울면(서울),1000,740,132.45,39.22,6.31,1.44,2611.81,521.32,2.33,0
698,면 및 만두류,울면(전라도),1000,720,123.81,33.68,10,1.43,2613.39,351.5,1.97,0
699,면 및 만두류,울면(충청도),1000,810,136.29,41.36,10.56,0,3029.31,444.35,1.68,0.04
700,죽 및 스프류,깨죽,800,515.34,79.3,13.66,15.94,3.59,1160.18,0,2.82,0.01
701,죽 및 스프류,깨죽(강원도),800,544,97.33,13.68,10.95,0,1126.18,0,3.1,0.01
702,죽 및 스프류,깨죽(경기도),800,424,78.1,10.38,7.94,3.2,1385.26,0,2.63,0
703,죽 및 스프류,깨죽(경상도),800,448,79.57,10.88,9.7,2.96,1105.77,0,2.09,0
704,죽 및 스프류,깨죽(서울),800,568,81.95,16.78,18.82,3.86,1114.26,0,2.39,0
705,죽 및 스프류,깨죽(전라도),800,592,61.18,15.3,31.56,7.35,1012.7,0,3.6,0.02
706,죽 및 스프류,깨죽(충청도),800,520,77.71,14.91,16.7,4.16,1216.95,0,3.15,0.01
707,죽 및 스프류,소고기버섯죽,800,578.28,109.02,18.74,7.46,0.26,1261.8,26.08,2.72,0.14
708,죽 및 스프류,소고기버섯죽(강원도),800,608,119.98,17.32,6.14,0.16,1223.32,19.62,2.58,0.18
709,죽 및 스프류,소고기버섯죽(경기도),800,576,109.94,19.88,6.07,0,1247.22,28.1,3.06,0.1
710,죽 및 스프류,소고기버섯죽(경상도),800,568,104.96,16.46,9.05,0.22,1282.22,16.29,2.78,0.19
711,죽 및 스프류,소고기버섯죽(서울),800,592,104.51,17.52,11.62,0.3,1330.34,20.54,3,0.03
712,죽 및 스프류,소고기버섯죽(전라도),800,568,112.49,19.84,4.47,0.16,1272.51,36.38,2.58,0.14
713,죽 및 스프류,소고기버섯죽(충청도),800,560,102.28,21.46,7.44,0.73,1215.21,35.57,2.33,0.2
714,죽 및 스프류,잣죽,700,874.48,155.27,19.18,19.63,2.36,878.82,0,1.99,0.24
715,죽 및 스프류,잣죽(강원도),700,672,102.81,17.47,21.08,0.04,843.88,0,2.08,0.31
716,죽 및 스프류,잣죽(경기도),700,1561,339.86,13.48,16.52,1.28,711.19,0,1.81,0.36
717,죽 및 스프류,잣죽(경상도),700,749,131.82,16.46,17.23,3.15,803.75,0,2.15,0.01
718,죽 및 스프류,잣죽(서울),700,812,122.07,19.43,27.71,2.41,923.39,0,2.22,0.31
719,죽 및 스프류,잣죽(전라도),700,672,96.26,32.84,16.91,4.21,888.55,0,1.91,0.04
720,죽 및 스프류,잣죽(충청도),700,784,138.82,15.39,18.32,3.08,1102.11,0,1.75,0.4
721,죽 및 스프류,전복죽,800,590.82,114.31,12.58,9.26,0.22,1309.46,28.47,1.79,0.05
722,죽 및 스프류,전복죽(강원도),800,624,115.12,13.34,12.58,0.2,1274.88,32.11,1.9,0.1
723,죽 및 스프류,전복죽(경기도),800,616,120.98,7.32,11.18,0,1370.75,19.54,1.95,0.02
724,죽 및 스프류,전복죽(경상도),800,584,106.39,10.85,12.42,0.17,1347.98,7.71,1.48,0.02
725,죽 및 스프류,전복죽(서울),800,592,120.23,15.07,5.26,0.26,1424.15,43.06,1.77,0.06
726,죽 및 스프류,전복죽(전라도),800,584,114.87,14.74,7.03,0.12,1225.16,36.74,2.07,0.05
727,죽 및 스프류,전복죽(충청도),800,552,108.29,14.11,7.05,0.54,1213.86,31.66,1.57,0.05
728,죽 및 스프류,참치죽,800,659.6,104.57,24.19,16.06,1.36,1342.4,39.96,1.82,0.06
729,죽 및 스프류,참치죽(강원도),800,568,99.33,20.63,10.18,0.43,1532.46,52.54,2.09,0.03
730,죽 및 스프류,참치죽(경기도),800,672,120.66,23.2,10.94,0.58,1110.38,31.19,1.74,0.06
731,죽 및 스프류,참치죽(경상도),800,808,110.88,28.68,27.99,2.33,1309.71,38.86,1.54,0.02
732,죽 및 스프류,참치죽(서울),800,592,96.63,26.98,10.83,2.26,1223.22,31.58,1.91,0.07
733,죽 및 스프류,참치죽(전라도),800,720,98.43,22.42,26.42,1.78,1502.27,28.62,1.66,0.05
734,죽 및 스프류,참치죽(충청도),800,592,101.47,23.26,10,0.78,1376.38,56.98,1.94,0.11
735,죽 및 스프류,팥죽,600,498.06,97.81,18.43,3.68,1.69,1026.43,0,0.49,0.01
736,죽 및 스프류,팥죽(강원도),600,492,100.85,18.38,1.61,0.18,1059.83,0,0.69,0
737,죽 및 스프류,팥죽(경기도),600,534,102.78,16.82,6.07,2.79,945.11,0,1.01,0.01
738,죽 및 스프류,팥죽(경상도),600,492,100.86,18.35,1.59,3.29,946.2,0,0.3,0
739,죽 및 스프류,팥죽(서울),600,510,102.53,20.53,1.64,0.57,1028.36,0,0.32,0
740,죽 및 스프류,팥죽(전라도),600,486,98.95,20.16,0.89,1.7,1022.37,0,0.32,0
741,죽 및 스프류,팥죽(충청도),600,480,80.86,16.33,10.28,1.57,1156.72,0,0.28,0.02
742,죽 및 스프류,호박죽,600,442.75,89.39,7.09,6.32,16.7,929.2,1.72,1.06,0.01
743,죽 및 스프류,호박죽(강원도),600,516,74.88,7.4,20.61,18.49,932.63,0.01,0.83,0
744,죽 및 스프류,호박죽(경기도),600,486,89.95,7.21,10.6,13.51,909.59,2.47,0.26,0
745,죽 및 스프류,호박죽(경상도),600,456,100.69,6.77,2.86,19,997.04,3.03,0.29,0
746,죽 및 스프류,호박죽(서울),600,408,88.97,9.17,1.46,12.28,889.19,1.04,0.23,0
747,죽 및 스프류,호박죽(전라도),600,390,88.72,6.04,1.55,16.55,759.8,1.75,4.46,0.02
748,죽 및 스프류,호박죽(충청도),600,402,93.11,5.93,0.82,20.41,1086.94,2.05,0.3,0
749,죽 및 스프류,게살죽,800,564.83,107.34,17.9,7.1,0.17,1453.82,50.16,2.11,0.07
750,죽 및 스프류,게살죽(강원도),800,600,114.6,16.9,7.78,0.15,1328.22,63.38,3.02,0.12
751,죽 및 스프류,게살죽(경기도),800,552,108.34,17.74,4.94,0,1523.14,35.52,1.98,0
752,죽 및 스프류,게살죽(경상도),800,568,100.16,15.97,11.26,0.24,1417.4,31.41,2.14,0.16
753,죽 및 스프류,게살죽(서울),800,576,107.49,15.59,9.1,0.16,1593.01,65.38,2.05,0.02
754,죽 및 스프류,게살죽(전라도),800,544,104.94,22.78,4,0.48,1536.34,70.83,1.72,0.05
755,죽 및 스프류,게살죽(충청도),800,560,108.56,18.4,5.47,0,1324.84,34.42,1.74,0.07
756,국 및 탕류,갈비탕,600,236.75,7.61,27.38,10.76,0,1717.54,112.25,2.86,0.16
757,국 및 탕류,갈비탕(강원도),600,228,7.23,23.72,11.9,0,1333.56,212.25,5.2,0.35
