번호,식품군,식품이름,1회제공량 (g),열량 (kcal),탄수화물 (g),단백질 (g),지방 (g),당류 (g),나트륨 (mg),콜레스테롤 (mg),포화지방산 (g),트랜스지방산 (g)
465,면 및 만두류,삼선자장면(경상도),700,819,130.65,32.96,18.42,8.34,2518.52,227.59,3.75,0.11
466,면 및 만두류,삼선자장면(서울),700,784,129.61,31.27,15.86,12.55,2490.94,124.61,3.79,0.11
467,면 및 만두류,삼선자장면(전라도),700,833,113.71,38.91,24.91,10.01,3396.97,171.53,4.22,0.14
468,면 및 만두류,삼선자장면(충청도),700,749,115.84,31.42,17.43,10.24,2359.08,87.79,3.76,0.06
469,면 및 만두류,막국수,550,599.91,114.86,20.99,6.28,23.35,1503.04,64.43,1.56,0.03
470,면 및 만두류,막국수(강원도),550,594,115.29,16.81,7.23,24.85,1626.58,93.07,2.1,0.03
471,면 및 만두류,막국수(경기도),550,616,112.01,21.35,8.89,20.81,1241.94,75.05,0.97,0.01
472,면 및 만두류,막국수(경상도),550,577.5,122.15,16.87,2.56,20.04,1534.05,60.57,1.55,0
473,면 및 만두류,막국수(서울),550,572,104.63,26.77,5.22,24.46,1685.91,32.56,1.15,0.05
474,면 및 만두류,막국수(전라도),550,682,133,22.95,6.45,30.7,1332.44,95.45,1.42,0.01
475,면 및 만두류,막국수(충청도),550,561,102.09,21.21,7.32,19.27,1597.33,29.91,2.19,0.1
476,면 및 만두류,비빔국수,550,617.94,109.85,18.76,11.5,23.61,1854.91,26.09,1.97,0.09
477,면 및 만두류,비빔국수(강원도),550,704,107.83,19.45,21.59,24.84,2138.79,26.85,3.5,0.11
478,면 및 만두류,비빔국수(경기도),550,621.5,116.85,18.28,8.96,26.94,1973.74,16.27,1.66,0.15
479,면 및 만두류,비빔국수(경상도),550,572,110.95,17.48,6.7,19.16,1650.04,13.08,1.44,0.12
480,면 및 만두류,비빔국수(서울),550,539,99.17,19.72,7.3,35.04,1640.57,36.98,1.55,0.01
481,면 및 만두류,비빔국수(전라도),550,649,132.67,19.55,4.27,13.68,1712.64,30.08,1.44,0.05
482,면 및 만두류,비빔국수(충청도),550,621.5,91.67,18.03,20.18,22.01,2013.69,33.28,2.25,0.14
483,면 및 만두류,잔치국수,700,599.16,118.53,21.13,4.51,0.71,1683.17,60.46,1,0
484,면 및 만두류,잔치국수(강원도),700,567,114.82,19.24,3.2,0.66,1734.87,55.89,0.92,0
485,면 및 만두류,잔치국수(경기도),700,637,120.74,22.03,7.62,0.49,1433.1,82.69,1.08,0
